Paths,Labels
Dataset\walk\017735.jpg,walk
Dataset\yes\022028.jpg,yes
Dataset\candy\005100.jpg,candy
Dataset\drink\011489.jpg,drink
Dataset\help\014495.jpg,help
Dataset\fine\012789.jpg,fine
Dataset\computer\007809.jpg,computer
Dataset\deaf\009840.jpg,deaf
Dataset\who\018669.jpg,who
Dataset\black\002784.jpg,black
Dataset\clothes\007021.jpg,clothes
Dataset\who\019341.jpg,who
Dataset\year\020384.jpg,year
Dataset\clothes\006919.jpg,clothes
Dataset\drink\010880.jpg,drink
Dataset\walk\017085.jpg,walk
Dataset\fine\013064.jpg,fine
Dataset\go\013309.jpg,go
Dataset\go\013493.jpg,go
Dataset\yes\021973.jpg,yes
Dataset\year\020001.jpg,year
Dataset\cousin\008890.jpg,cousin
Dataset\year\020981.jpg,year
Dataset\candy\004933.jpg,candy
Dataset\walk\017535.jpg,walk
Dataset\black\002737.jpg,black
Dataset\fine\012961.jpg,fine
Dataset\help\014276.jpg,help
Dataset\book\004231.jpg,book
Dataset\year\020736.jpg,year
Dataset\who\018660.jpg,who
Dataset\drink\010982.jpg,drink
Dataset\deaf\010034.jpg,deaf
Dataset\computer\008343.jpg,computer
Dataset\fine\012658.jpg,fine
Dataset\chair\005954.jpg,chair
Dataset\before\001580.jpg,before
Dataset\book\002969.jpg,book
Dataset\cousin\009363.jpg,cousin
Dataset\computer\008144.jpg,computer
Dataset\all\000486.jpg,all
Dataset\computer\007982.jpg,computer
Dataset\before\000968.jpg,before
Dataset\computer\007886.jpg,computer
Dataset\walk\017627.jpg,walk
Dataset\thin\015767.jpg,thin
Dataset\who\018820.jpg,who
Dataset\before\001948.jpg,before
Dataset\walk\018300.jpg,walk
Dataset\black\002226.jpg,black
Dataset\cousin\008524.jpg,cousin
Dataset\no\015256.jpg,no
Dataset\thin\016276.jpg,thin
Dataset\drink\010803.jpg,drink
Dataset\deaf\009515.jpg,deaf
Dataset\walk\018277.jpg,walk
Dataset\help\014041.jpg,help
Dataset\candy\004546.jpg,candy
Dataset\thin\016278.jpg,thin
Dataset\book\003205.jpg,book
Dataset\black\002550.jpg,black
Dataset\computer\007782.jpg,computer
Dataset\book\003887.jpg,book
Dataset\fine\012580.jpg,fine
Dataset\walk\017084.jpg,walk
Dataset\candy\005051.jpg,candy
Dataset\who\019131.jpg,who
Dataset\computer\007780.jpg,computer
Dataset\drink\011430.jpg,drink
Dataset\fine\012931.jpg,fine
Dataset\help\014427.jpg,help
Dataset\year\020515.jpg,year
Dataset\candy\005024.jpg,candy
Dataset\who\018581.jpg,who
Dataset\all\000602.jpg,all
Dataset\deaf\010270.jpg,deaf
Dataset\black\002168.jpg,black
Dataset\drink\010501.jpg,drink
Dataset\year\019704.jpg,year
Dataset\yes\021670.jpg,yes
Dataset\cousin\009126.jpg,cousin
Dataset\yes\021982.jpg,yes
Dataset\candy\004872.jpg,candy
Dataset\black\002625.jpg,black
Dataset\clothes\006715.jpg,clothes
Dataset\year\020103.jpg,year
Dataset\all\000742.jpg,all
Dataset\all\000412.jpg,all
Dataset\computer\007884.jpg,computer
Dataset\chair\005755.jpg,chair
Dataset\fine\012989.jpg,fine
Dataset\thin\016152.jpg,thin
Dataset\who\019194.jpg,who
Dataset\candy\005306.jpg,candy
Dataset\candy\005395.jpg,candy
Dataset\who\018697.jpg,who
Dataset\black\002761.jpg,black
Dataset\go\013713.jpg,go
Dataset\candy\005218.jpg,candy
Dataset\cousin\009407.jpg,cousin
Dataset\book\004194.jpg,book
Dataset\drink\012263.jpg,drink
Dataset\candy\005283.jpg,candy
Dataset\book\003106.jpg,book
Dataset\candy\004497.jpg,candy
Dataset\book\004308.jpg,book
Dataset\year\020412.jpg,year
Dataset\walk\017554.jpg,walk
Dataset\walk\018219.jpg,walk
Dataset\candy\005287.jpg,candy
Dataset\drink\011434.jpg,drink
Dataset\go\013401.jpg,go
Dataset\book\004169.jpg,book
Dataset\year\020068.jpg,year
Dataset\cousin\008899.jpg,cousin
Dataset\deaf\010280.jpg,deaf
Dataset\before\002079.jpg,before
Dataset\clothes\007137.jpg,clothes
Dataset\book\003883.jpg,book
Dataset\deaf\009667.jpg,deaf
Dataset\drink\010888.jpg,drink
Dataset\drink\012114.jpg,drink
Dataset\cousin\009199.jpg,cousin
Dataset\walk\018035.jpg,walk
Dataset\black\002523.jpg,black
Dataset\year\019746.jpg,year
Dataset\cousin\009460.jpg,cousin
Dataset\who\019126.jpg,who
Dataset\walk\017356.jpg,walk
Dataset\walk\018117.jpg,walk
Dataset\deaf\010035.jpg,deaf
Dataset\fine\012610.jpg,fine
Dataset\walk\017027.jpg,walk
Dataset\help\014285.jpg,help
Dataset\help\013847.jpg,help
Dataset\cousin\008442.jpg,cousin
Dataset\computer\008268.jpg,computer
Dataset\no\014837.jpg,no
Dataset\black\002155.jpg,black
Dataset\drink\010460.jpg,drink
Dataset\clothes\006699.jpg,clothes
Dataset\yes\021531.jpg,yes
Dataset\clothes\006915.jpg,clothes
Dataset\black\002299.jpg,black
Dataset\book\003169.jpg,book
Dataset\deaf\009827.jpg,deaf
Dataset\cousin\009093.jpg,cousin
Dataset\candy\005164.jpg,candy
Dataset\deaf\009661.jpg,deaf
Dataset\deaf\010242.jpg,deaf
Dataset\before\000897.jpg,before
Dataset\computer\007913.jpg,computer
Dataset\who\018435.jpg,who
Dataset\thin\016746.jpg,thin
Dataset\all\000708.jpg,all
Dataset\chair\005533.jpg,chair
Dataset\computer\007748.jpg,computer
Dataset\who\018578.jpg,who
Dataset\walk\017475.jpg,walk
Dataset\cousin\008514.jpg,cousin
Dataset\no\015213.jpg,no
Dataset\all\000206.jpg,all
Dataset\computer\007696.jpg,computer
Dataset\drink\011967.jpg,drink
Dataset\chair\006139.jpg,chair
Dataset\no\015383.jpg,no
Dataset\before\001792.jpg,before
Dataset\walk\017795.jpg,walk
Dataset\black\002678.jpg,black
Dataset\book\003539.jpg,book
Dataset\walk\018262.jpg,walk
Dataset\computer\007627.jpg,computer
Dataset\deaf\009479.jpg,deaf
Dataset\fine\012379.jpg,fine
Dataset\before\001006.jpg,before
Dataset\help\014299.jpg,help
Dataset\who\018393.jpg,who
Dataset\yes\021755.jpg,yes
Dataset\black\002772.jpg,black
Dataset\fine\013149.jpg,fine
Dataset\thin\015881.jpg,thin
Dataset\drink\010925.jpg,drink
Dataset\walk\017228.jpg,walk
Dataset\cousin\008394.jpg,cousin
Dataset\help\013881.jpg,help
Dataset\drink\012253.jpg,drink
Dataset\book\004357.jpg,book
Dataset\year\020450.jpg,year
Dataset\year\020907.jpg,year
Dataset\deaf\010326.jpg,deaf
Dataset\drink\010608.jpg,drink
Dataset\walk\018099.jpg,walk
Dataset\no\014712.jpg,no
Dataset\thin\016405.jpg,thin
Dataset\who\018725.jpg,who
Dataset\go\013811.jpg,go
Dataset\fine\012573.jpg,fine
Dataset\before\002102.jpg,before
Dataset\drink\011718.jpg,drink
Dataset\book\004198.jpg,book
Dataset\cousin\009148.jpg,cousin
Dataset\no\015454.jpg,no
Dataset\who\019027.jpg,who
Dataset\book\004046.jpg,book
Dataset\walk\017553.jpg,walk
Dataset\yes\021018.jpg,yes
Dataset\cousin\008867.jpg,cousin
Dataset\black\002731.jpg,black
Dataset\who\018920.jpg,who
Dataset\before\001665.jpg,before
Dataset\yes\021665.jpg,yes
Dataset\before\001477.jpg,before
Dataset\who\018714.jpg,who
Dataset\yes\021808.jpg,yes
Dataset\help\014281.jpg,help
Dataset\candy\004732.jpg,candy
Dataset\clothes\006700.jpg,clothes
Dataset\all\000051.jpg,all
Dataset\yes\021694.jpg,yes
Dataset\computer\007655.jpg,computer
Dataset\drink\010728.jpg,drink
Dataset\before\001687.jpg,before
Dataset\help\014530.jpg,help
Dataset\fine\012585.jpg,fine
Dataset\candy\004399.jpg,candy
Dataset\drink\011818.jpg,drink
Dataset\all\000725.jpg,all
Dataset\no\015539.jpg,no
Dataset\walk\016989.jpg,walk
Dataset\black\002806.jpg,black
Dataset\chair\006449.jpg,chair
Dataset\computer\008095.jpg,computer
Dataset\drink\011397.jpg,drink
Dataset\walk\017558.jpg,walk
Dataset\before\001027.jpg,before
Dataset\drink\010712.jpg,drink
Dataset\cousin\008510.jpg,cousin
Dataset\who\018850.jpg,who
Dataset\no\015534.jpg,no
Dataset\who\019166.jpg,who
Dataset\computer\007959.jpg,computer
Dataset\who\019018.jpg,who
Dataset\walk\017689.jpg,walk
Dataset\go\013470.jpg,go
Dataset\all\000124.jpg,all
Dataset\before\001248.jpg,before
Dataset\all\000821.jpg,all
Dataset\all\000581.jpg,all
Dataset\go\013756.jpg,go
Dataset\computer\007517.jpg,computer
Dataset\year\020624.jpg,year
Dataset\walk\017394.jpg,walk
Dataset\year\020382.jpg,year
Dataset\chair\006242.jpg,chair
Dataset\drink\011848.jpg,drink
Dataset\book\002949.jpg,book
Dataset\who\018698.jpg,who
Dataset\thin\016186.jpg,thin
Dataset\computer\007841.jpg,computer
Dataset\candy\004449.jpg,candy
Dataset\clothes\006741.jpg,clothes
Dataset\clothes\006620.jpg,clothes
Dataset\year\020702.jpg,year
Dataset\cousin\008779.jpg,cousin
Dataset\before\001960.jpg,before
Dataset\walk\017040.jpg,walk
Dataset\walk\017191.jpg,walk
Dataset\cousin\008674.jpg,cousin
Dataset\fine\012684.jpg,fine
Dataset\fine\012957.jpg,fine
Dataset\walk\016881.jpg,walk
Dataset\black\002542.jpg,black
Dataset\go\013543.jpg,go
Dataset\candy\005383.jpg,candy
Dataset\who\018685.jpg,who
Dataset\year\020725.jpg,year
Dataset\before\000931.jpg,before
Dataset\go\013433.jpg,go
Dataset\walk\017286.jpg,walk
Dataset\candy\004845.jpg,candy
Dataset\drink\011045.jpg,drink
Dataset\drink\011703.jpg,drink
Dataset\cousin\009043.jpg,cousin
Dataset\chair\005981.jpg,chair
Dataset\walk\016901.jpg,walk
Dataset\clothes\007052.jpg,clothes
Dataset\yes\021469.jpg,yes
Dataset\drink\011538.jpg,drink
Dataset\yes\021264.jpg,yes
Dataset\walk\017577.jpg,walk
Dataset\no\015737.jpg,no
Dataset\deaf\010229.jpg,deaf
Dataset\before\001465.jpg,before
Dataset\year\019672.jpg,year
Dataset\drink\011754.jpg,drink
Dataset\help\014225.jpg,help
Dataset\year\020303.jpg,year
Dataset\no\015531.jpg,no
Dataset\year\020350.jpg,year
Dataset\fine\012806.jpg,fine
Dataset\who\019032.jpg,who
Dataset\who\019177.jpg,who
Dataset\no\015187.jpg,no
Dataset\chair\005509.jpg,chair
Dataset\deaf\009619.jpg,deaf
Dataset\fine\013115.jpg,fine
Dataset\deaf\009799.jpg,deaf
Dataset\deaf\009694.jpg,deaf
Dataset\candy\004672.jpg,candy
Dataset\before\001838.jpg,before
Dataset\walk\017528.jpg,walk
Dataset\clothes\006613.jpg,clothes
Dataset\walk\017534.jpg,walk
Dataset\year\020410.jpg,year
Dataset\all\000050.jpg,all
Dataset\thin\016236.jpg,thin
Dataset\chair\005889.jpg,chair
Dataset\year\020299.jpg,year
Dataset\cousin\008623.jpg,cousin
Dataset\fine\012690.jpg,fine
Dataset\yes\021943.jpg,yes
Dataset\go\013689.jpg,go
Dataset\deaf\009572.jpg,deaf
Dataset\drink\010934.jpg,drink
Dataset\year\020819.jpg,year
Dataset\help\014182.jpg,help
Dataset\candy\004681.jpg,candy
Dataset\fine\012830.jpg,fine
Dataset\drink\011792.jpg,drink
Dataset\drink\011108.jpg,drink
Dataset\drink\011068.jpg,drink
Dataset\who\018755.jpg,who
Dataset\who\018727.jpg,who
Dataset\book\003699.jpg,book
Dataset\computer\007945.jpg,computer
Dataset\book\003452.jpg,book
Dataset\thin\016480.jpg,thin
Dataset\year\020888.jpg,year
Dataset\before\001558.jpg,before
Dataset\drink\011809.jpg,drink
Dataset\who\019051.jpg,who
Dataset\thin\016834.jpg,thin
Dataset\year\020214.jpg,year
Dataset\computer\008384.jpg,computer
Dataset\deaf\010063.jpg,deaf
Dataset\deaf\010150.jpg,deaf
Dataset\walk\017776.jpg,walk
Dataset\computer\008193.jpg,computer
Dataset\thin\015757.jpg,thin
Dataset\yes\021071.jpg,yes
Dataset\no\015371.jpg,no
Dataset\who\018364.jpg,who
Dataset\no\015136.jpg,no
Dataset\cousin\008478.jpg,cousin
Dataset\black\002158.jpg,black
Dataset\deaf\009810.jpg,deaf
Dataset\year\019647.jpg,year
Dataset\computer\007701.jpg,computer
Dataset\no\014578.jpg,no
Dataset\no\015699.jpg,no
Dataset\go\013477.jpg,go
Dataset\year\020302.jpg,year
Dataset\black\002815.jpg,black
Dataset\before\001698.jpg,before
Dataset\computer\007822.jpg,computer
Dataset\go\013450.jpg,go
Dataset\computer\007887.jpg,computer
Dataset\before\001067.jpg,before
Dataset\candy\005486.jpg,candy
Dataset\chair\006464.jpg,chair
Dataset\black\002440.jpg,black
Dataset\deaf\009959.jpg,deaf
Dataset\who\019026.jpg,who
Dataset\walk\017988.jpg,walk
Dataset\computer\007688.jpg,computer
Dataset\drink\012073.jpg,drink
Dataset\black\002783.jpg,black
Dataset\yes\021493.jpg,yes
Dataset\book\003935.jpg,book
Dataset\walk\017757.jpg,walk
Dataset\before\002040.jpg,before
Dataset\black\002361.jpg,black
Dataset\computer\008080.jpg,computer
Dataset\deaf\009743.jpg,deaf
Dataset\chair\006467.jpg,chair
Dataset\go\013693.jpg,go
Dataset\walk\017542.jpg,walk
Dataset\no\014741.jpg,no
Dataset\cousin\009040.jpg,cousin
Dataset\go\013359.jpg,go
Dataset\walk\018133.jpg,walk
Dataset\candy\005020.jpg,candy
Dataset\chair\006062.jpg,chair
Dataset\deaf\010127.jpg,deaf
Dataset\who\019478.jpg,who
Dataset\chair\006454.jpg,chair
Dataset\book\003288.jpg,book
Dataset\who\018857.jpg,who
Dataset\cousin\009193.jpg,cousin
Dataset\help\014178.jpg,help
Dataset\deaf\009586.jpg,deaf
Dataset\deaf\010329.jpg,deaf
Dataset\go\013691.jpg,go
Dataset\walk\017062.jpg,walk
Dataset\all\000084.jpg,all
Dataset\deaf\010081.jpg,deaf
Dataset\before\001254.jpg,before
Dataset\who\019264.jpg,who
Dataset\who\019438.jpg,who
Dataset\computer\008257.jpg,computer
Dataset\drink\011675.jpg,drink
Dataset\before\002047.jpg,before
Dataset\candy\004983.jpg,candy
Dataset\who\019041.jpg,who
Dataset\deaf\010267.jpg,deaf
Dataset\who\018449.jpg,who
Dataset\drink\011044.jpg,drink
Dataset\candy\005077.jpg,candy
Dataset\walk\017460.jpg,walk
Dataset\who\019603.jpg,who
Dataset\drink\012079.jpg,drink
Dataset\chair\006152.jpg,chair
Dataset\book\003060.jpg,book
Dataset\yes\021338.jpg,yes
Dataset\computer\008019.jpg,computer
Dataset\chair\006149.jpg,chair
Dataset\clothes\006897.jpg,clothes
Dataset\book\003580.jpg,book
Dataset\fine\012700.jpg,fine
Dataset\deaf\010138.jpg,deaf
Dataset\thin\016445.jpg,thin
Dataset\clothes\006701.jpg,clothes
Dataset\who\018984.jpg,who
Dataset\drink\010632.jpg,drink
Dataset\book\003985.jpg,book
Dataset\no\015364.jpg,no
Dataset\walk\017874.jpg,walk
Dataset\thin\016268.jpg,thin
Dataset\yes\021680.jpg,yes
Dataset\computer\007362.jpg,computer
Dataset\walk\017514.jpg,walk
Dataset\candy\004472.jpg,candy
Dataset\chair\005827.jpg,chair
Dataset\candy\005260.jpg,candy
Dataset\book\004070.jpg,book
Dataset\no\014729.jpg,no
Dataset\walk\017076.jpg,walk
Dataset\yes\021305.jpg,yes
Dataset\no\015149.jpg,no
Dataset\book\003581.jpg,book
Dataset\chair\005733.jpg,chair
Dataset\who\019109.jpg,who
Dataset\deaf\009978.jpg,deaf
Dataset\year\020424.jpg,year
Dataset\who\019237.jpg,who
Dataset\before\001195.jpg,before
Dataset\no\014673.jpg,no
Dataset\drink\011905.jpg,drink
Dataset\drink\011983.jpg,drink
Dataset\drink\011209.jpg,drink
Dataset\computer\008378.jpg,computer
Dataset\book\003976.jpg,book
Dataset\all\000197.jpg,all
Dataset\before\001120.jpg,before
Dataset\fine\012692.jpg,fine
Dataset\deaf\010050.jpg,deaf
Dataset\cousin\009118.jpg,cousin
Dataset\deaf\009546.jpg,deaf
Dataset\candy\005215.jpg,candy
Dataset\who\019354.jpg,who
Dataset\before\001589.jpg,before
Dataset\drink\011784.jpg,drink
Dataset\computer\007432.jpg,computer
Dataset\who\019325.jpg,who
Dataset\before\001805.jpg,before
Dataset\who\018750.jpg,who
Dataset\deaf\009791.jpg,deaf
Dataset\fine\012889.jpg,fine
Dataset\who\018941.jpg,who
Dataset\clothes\006688.jpg,clothes
Dataset\book\003656.jpg,book
Dataset\before\001777.jpg,before
Dataset\walk\017120.jpg,walk
Dataset\walk\017788.jpg,walk
Dataset\clothes\006718.jpg,clothes
Dataset\drink\012089.jpg,drink
Dataset\walk\017557.jpg,walk
Dataset\all\000286.jpg,all
Dataset\candy\005129.jpg,candy
Dataset\clothes\007164.jpg,clothes
Dataset\year\020070.jpg,year
Dataset\drink\010530.jpg,drink
Dataset\all\000550.jpg,all
Dataset\year\020740.jpg,year
Dataset\book\002910.jpg,book
Dataset\year\020065.jpg,year
Dataset\who\018834.jpg,who
Dataset\year\020916.jpg,year
Dataset\book\003049.jpg,book
Dataset\walk\017503.jpg,walk
Dataset\cousin\008424.jpg,cousin
Dataset\book\003754.jpg,book
Dataset\deaf\009906.jpg,deaf
Dataset\no\014599.jpg,no
Dataset\book\004047.jpg,book
Dataset\walk\017249.jpg,walk
Dataset\clothes\006988.jpg,clothes
Dataset\black\002453.jpg,black
Dataset\thin\016161.jpg,thin
Dataset\before\001980.jpg,before
Dataset\who\018986.jpg,who
Dataset\before\002068.jpg,before
Dataset\yes\021439.jpg,yes
Dataset\no\014691.jpg,no
Dataset\deaf\010084.jpg,deaf
Dataset\drink\011558.jpg,drink
Dataset\fine\013112.jpg,fine
Dataset\candy\004446.jpg,candy
Dataset\thin\015957.jpg,thin
Dataset\thin\015924.jpg,thin
Dataset\book\004027.jpg,book
Dataset\candy\004692.jpg,candy
Dataset\no\014766.jpg,no
Dataset\fine\012408.jpg,fine
Dataset\yes\021239.jpg,yes
Dataset\who\018872.jpg,who
Dataset\walk\018088.jpg,walk
Dataset\year\020314.jpg,year
Dataset\thin\016778.jpg,thin
Dataset\who\019373.jpg,who
Dataset\go\013301.jpg,go
Dataset\drink\012168.jpg,drink
Dataset\book\003625.jpg,book
Dataset\thin\016368.jpg,thin
Dataset\cousin\009368.jpg,cousin
Dataset\clothes\006813.jpg,clothes
Dataset\deaf\009521.jpg,deaf
Dataset\drink\011699.jpg,drink
Dataset\go\013533.jpg,go
Dataset\fine\012798.jpg,fine
Dataset\fine\012959.jpg,fine
Dataset\computer\007370.jpg,computer
Dataset\book\003756.jpg,book
Dataset\drink\011779.jpg,drink
Dataset\drink\011507.jpg,drink
Dataset\thin\016277.jpg,thin
Dataset\yes\022012.jpg,yes
Dataset\book\004022.jpg,book
Dataset\who\018544.jpg,who
Dataset\computer\007406.jpg,computer
Dataset\drink\010520.jpg,drink
Dataset\book\002967.jpg,book
Dataset\drink\011168.jpg,drink
Dataset\cousin\009424.jpg,cousin
Dataset\drink\010634.jpg,drink
Dataset\thin\016537.jpg,thin
Dataset\fine\013124.jpg,fine
Dataset\before\001304.jpg,before
Dataset\year\020977.jpg,year
Dataset\cousin\008982.jpg,cousin
Dataset\year\020381.jpg,year
Dataset\walk\018002.jpg,walk
Dataset\before\001374.jpg,before
Dataset\deaf\009478.jpg,deaf
Dataset\walk\017729.jpg,walk
Dataset\cousin\008910.jpg,cousin
Dataset\before\001136.jpg,before
Dataset\no\015105.jpg,no
Dataset\all\000427.jpg,all
Dataset\chair\005744.jpg,chair
Dataset\deaf\010408.jpg,deaf
Dataset\who\018517.jpg,who
Dataset\all\000340.jpg,all
Dataset\book\003481.jpg,book
Dataset\thin\016258.jpg,thin
Dataset\fine\012823.jpg,fine
Dataset\help\013873.jpg,help
Dataset\thin\016683.jpg,thin
Dataset\go\013564.jpg,go
Dataset\book\003315.jpg,book
Dataset\cousin\009069.jpg,cousin
Dataset\help\013944.jpg,help
Dataset\help\013909.jpg,help
Dataset\year\020328.jpg,year
Dataset\chair\006456.jpg,chair
Dataset\fine\012415.jpg,fine
Dataset\book\003650.jpg,book
Dataset\yes\021020.jpg,yes
Dataset\book\002974.jpg,book
Dataset\clothes\006604.jpg,clothes
Dataset\book\002960.jpg,book
Dataset\book\004372.jpg,book
Dataset\thin\015751.jpg,thin
Dataset\all\000130.jpg,all
Dataset\drink\011834.jpg,drink
Dataset\all\000402.jpg,all
Dataset\deaf\010211.jpg,deaf
Dataset\fine\012637.jpg,fine
Dataset\computer\007754.jpg,computer
Dataset\who\018759.jpg,who
Dataset\thin\016604.jpg,thin
Dataset\deaf\010121.jpg,deaf
Dataset\book\003009.jpg,book
Dataset\computer\007569.jpg,computer
Dataset\drink\011597.jpg,drink
Dataset\who\019073.jpg,who
Dataset\drink\011599.jpg,drink
Dataset\computer\007609.jpg,computer
Dataset\drink\011548.jpg,drink
Dataset\no\014943.jpg,no
Dataset\go\013638.jpg,go
Dataset\thin\016806.jpg,thin
Dataset\help\013883.jpg,help
Dataset\candy\004982.jpg,candy
Dataset\year\020280.jpg,year
Dataset\book\003270.jpg,book
Dataset\deaf\010330.jpg,deaf
Dataset\computer\008132.jpg,computer
Dataset\cousin\008443.jpg,cousin
Dataset\candy\005023.jpg,candy
Dataset\walk\017943.jpg,walk
Dataset\deaf\010320.jpg,deaf
Dataset\year\020403.jpg,year
Dataset\yes\021850.jpg,yes
Dataset\year\020435.jpg,year
Dataset\chair\006385.jpg,chair
Dataset\yes\021290.jpg,yes
Dataset\all\000609.jpg,all
Dataset\who\019520.jpg,who
Dataset\who\019442.jpg,who
Dataset\all\000020.jpg,all
Dataset\computer\007684.jpg,computer
Dataset\drink\011577.jpg,drink
Dataset\walk\017081.jpg,walk
Dataset\thin\016192.jpg,thin
Dataset\who\018537.jpg,who
Dataset\candy\005255.jpg,candy
Dataset\year\020097.jpg,year
Dataset\walk\017767.jpg,walk
Dataset\clothes\006779.jpg,clothes
Dataset\black\002488.jpg,black
Dataset\walk\017802.jpg,walk
Dataset\drink\010915.jpg,drink
Dataset\fine\012706.jpg,fine
Dataset\candy\005082.jpg,candy
Dataset\year\020824.jpg,year
Dataset\help\013988.jpg,help
Dataset\year\020518.jpg,year
Dataset\chair\005916.jpg,chair
Dataset\candy\004837.jpg,candy
Dataset\thin\016316.jpg,thin
Dataset\cousin\008958.jpg,cousin
Dataset\fine\012712.jpg,fine
Dataset\no\015006.jpg,no
Dataset\chair\005568.jpg,chair
Dataset\before\001967.jpg,before
Dataset\before\001776.jpg,before
Dataset\no\014764.jpg,no
Dataset\who\019074.jpg,who
Dataset\book\003801.jpg,book
Dataset\drink\012224.jpg,drink
Dataset\walk\017223.jpg,walk
Dataset\thin\016021.jpg,thin
Dataset\walk\017141.jpg,walk
Dataset\who\018886.jpg,who
